Molecule,Replicate,Sample Type,Analyte Concentration,Accuracy,Exclude From Calibration,Slope,Intercept,R Squared,Limit Of Detection,Limit Of Quantification,Total Area
Choline,240430_0uM_r01,Blank,,#N/A,False,4.8294E+6,4.9339E+5,6.6012E-1,,,#N/A
Choline,240430_0uM_r02,Blank,,#N/A,False,4.8294E+6,4.9339E+5,6.6012E-1,,,#N/A
Choline,240430_S5_0.005uM_r01,Standard,0.005,-1548.3%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,119525
Choline,240430_S5_0.01uM_r01,Standard,0.01,-531.4%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,236744
Choline,240430_S5_0.025uM_r01,Standard,0.025,130%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,650389
Choline,240430_S5_0.05uM_r01,Standard,0.05,324.5%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,1276978
Choline,240430_S5_0.1uM_r01,Standard,0.1,432.8%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,2583479
Choline,240430_S5_0.25uM_r01,Standard,0.25,497.4%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,6498801
Choline,240430_S5_0.5uM_r01,Standard,0.5,500.3%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,12573037
Choline,240430_S5_1uM_r01,Standard,1,455.9%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,22509414
Choline,240430_S5_2.5uM_r01,Standard,2.5,362.5%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,44257924
Choline,240430_S5_5uM_r01,Standard,5,280.2%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,68142064
Choline,240430_S5_10uM_r01,Standard,10,209.2%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,101530264
Choline,240430_S5_25uM_r01,Standard,25,132.2%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,160064320
Choline,240430_S5_50uM_r01,Standard,50,92.4%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,223721568
Choline,240430_S5_100uM_r01,Standard,100,62.4%,False,4.8294E+6,4.9339E+5,6.6012E-1,,,301763328
Lac,240430_0uM_r01,Blank,,#N/A,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,12330
Lac,240430_0uM_r02,Blank,,#N/A,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,15863
Lac,240430_S5_0.005uM_r01,Standard,0.005,-38271.4%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,8544
Lac,240430_S5_0.01uM_r01,Standard,0.01,19072.2%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,22476
Lac,240430_S5_0.025uM_r01,Standard,0.025,18968.7%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,32813
Lac,240430_S5_0.05uM_r01,Standard,0.05,168.6%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,15829
Lac,240430_S5_0.1uM_r01,Standard,0.1,92.1%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,15857
Lac,240430_S5_0.25uM_r01,Standard,0.25,-285.3%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,12921
Lac,240430_S5_0.5uM_r01,Standard,0.5,744.3%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,29091
Lac,240430_S5_1uM_r01,Standard,1,74.4%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,18236
Lac,240430_S5_2.5uM_r01,Standard,2.5,267.2%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,39878
Lac,240430_S5_5uM_r01,Standard,5,134.3%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,40006
Lac,240430_S5_10uM_r01,Standard,10,133%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,64006
Lac,240430_S5_25uM_r01,Standard,25,124.1%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,128664
Lac,240430_S5_50uM_r01,Standard,50,99.7%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,197261
Lac,240430_S5_100uM_r01,Standard,100,78.2%,False,3.6463E+3,1.5521E+4,9.1871E-1,1.6650E+0,2.5000E+1,300706
Glu_pos,240430_0uM_r01,Blank,,#N/A,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,#N/A
Glu_pos,240430_0uM_r02,Blank,,#N/A,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,#N/A
Glu_pos,240430_S5_0.005uM_r01,Standard,0.005,#N/A,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,#N/A
Glu_pos,240430_S5_0.01uM_r01,Standard,0.01,#N/A,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,#N/A
Glu_pos,240430_S5_0.025uM_r01,Standard,0.025,#N/A,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,#N/A
Glu_pos,240430_S5_0.05uM_r01,Standard,0.05,181.6%,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,5394
Glu_pos,240430_S5_0.1uM_r01,Standard,0.1,124.2%,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,10197
Glu_pos,240430_S5_0.25uM_r01,Standard,0.25,94%,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,26136
Glu_pos,240430_S5_0.5uM_r01,Standard,0.5,82.2%,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,51448
Glu_pos,240430_S5_1uM_r01,Standard,1,78.8%,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,105677
Glu_pos,240430_S5_2.5uM_r01,Standard,2.5,83.6%,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,293017
Glu_pos,240430_S5_5uM_r01,Standard,5,80.1%,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,568079
Glu_pos,240430_S5_10uM_r01,Standard,10,82.2%,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,1174923
Glu_pos,240430_S5_25uM_r01,Standard,25,87.8%,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,3148523
Glu_pos,240430_S5_50uM_r01,Standard,50,98%,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,7044177
Glu_pos,240430_S5_100uM_r01,Standard,100,107.5%,False,1.4385E+5,-7.6697E+3,9.9364E-1,,1.0000E-1,15451708
Glu_neg,240430_0uM_r01,Blank,,#N/A,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,#N/A
Glu_neg,240430_0uM_r02,Blank,,#N/A,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,#N/A
Glu_neg,240430_S5_0.005uM_r01,Standard,0.005,-2017%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,3601
Glu_neg,240430_S5_0.01uM_r01,Standard,0.01,-1462.6%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,1955
Glu_neg,240430_S5_0.025uM_r01,Standard,0.025,252.9%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,9546
Glu_neg,240430_S5_0.05uM_r01,Standard,0.05,432%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,15081
Glu_neg,240430_S5_0.1uM_r01,Standard,0.1,646.6%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,30684
Glu_neg,240430_S5_0.25uM_r01,Standard,0.25,749.7%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,75167
Glu_neg,240430_S5_0.5uM_r01,Standard,0.5,693.5%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,132899
Glu_neg,240430_S5_1uM_r01,Standard,1,637.4%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,238206
Glu_neg,240430_S5_2.5uM_r01,Standard,2.5,508.3%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,467690
Glu_neg,240430_S5_5uM_r01,Standard,5,411.6%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,753023
Glu_neg,240430_S5_10uM_r01,Standard,10,284.5%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,1038312
Glu_neg,240430_S5_25uM_r01,Standard,25,136.5%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,1243926
Glu_neg,240430_S5_50uM_r01,Standard,50,81.3%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,1479421
Glu_neg,240430_S5_100uM_r01,Standard,100,45.5%,False,3.6235E+4,7.2554E+3,-6.1435E-2,,,1657676
